Date1,RigCount,DATE2,oilThursday,DATE3,oilFri
6/17/11,1860,6/16/11,94.95,6/17/11,93.02
6/24/11,1882,6/23/11,90.7,6/24/11,90.89
7/1/11,1886,6/30/11,95.3,7/1/11,94.81
7/8/11,1887,7/7/11,98.7,7/8/11,96.2
7/15/11,1905,7/14/11,95.75,7/15/11,97.24
7/22/11,1916,7/21/11,98.96,7/22/11,99.53
7/29/11,1908,7/28/11,97.48,7/29/11,95.68
8/5/11,1920,8/4/11,86.75,8/5/11,86.89
8/12/11,1959,8/11/11,85.48,8/12/11,85.19
8/19/11,1974,8/18/11,82.38,8/19/11,82.33
8/26/11,1975,8/25/11,85.15,8/26/11,85.37
9/2/11,1968,9/1/11,88.93,9/2/11,86.45
9/9/11,1958,9/8/11,89.05,9/9/11,87.24
9/16/11,1985,9/15/11,89.4,9/16/11,87.96
9/23/11,1991,9/22/11,80.29,9/23/11,79.58
9/30/11,1990,9/29/11,81.87,9/30/11,78.93
10/7/11,2012,10/6/11,82.32,10/7/11,82.7
10/14/11,2023,10/13/11,83.96,10/14/11,86.8
10/21/11,2013,10/20/11,86.07,10/21/11,87.19
10/28/11,2021,10/27/11,93.96,10/28/11,93.32
11/4/11,2026,11/3/11,94.07,11/4/11,94.26
11/11/11,2016,11/10/11,97.78,11/11/11,98.99
11/18/11,2001,11/17/11,98.82,11/18/11,97.67
11/25/11,2000,11/24/11,96.16,11/25/11,96.91
12/2/11,1993,12/1/11,100.2,12/2/11,100.97
12/9/11,1987,12/8/11,98.35,12/9/11,99.4
12/16/11,2019,12/15/11,93.84,12/16/11,93.55
12/22/11,2008,12/22/11,99.42,12/23/11,99.72
12/29/11,2007,12/29/11,99.68,12/30/11,98.83
1/6/12,2007,1/5/12,101.81,1/6/12,101.56
1/13/12,1987,1/12/12,99.03,1/13/12,98.69
1/20/12,2008,1/19/12,100.32,1/20/12,98.15
1/27/12,2008,1/26/12,99.76,1/27/12,99.47
2/3/12,1997,2/2/12,96.36,2/3/12,97.8
2/10/12,1989,2/9/12,99.88,2/10/12,98.68
2/17/12,1994,2/16/12,102.33,2/17/12,103.27
2/24/12,1981,2/23/12,107.44,2/24/12,109.39
3/2/12,1989,3/1/12,108.76,3/2/12,106.68
3/9/12,1973,3/8/12,106.65,3/9/12,107.4
3/16/12,1984,3/15/12,105.19,3/16/12,107.03
3/23/12,1968,3/22/12,104.98,3/23/12,106.43
3/30/12,1979,3/29/12,102.79,3/30/12,103.03
4/5/12,1979,4/5/12,103.29,4/6/12,103.29
4/13/12,1950,4/12/12,103.69,4/13/12,102.84
4/20/12,1972,4/19/12,102.38,4/20/12,103.58
4/27/12,1945,4/26/12,104.56,4/27/12,104.86
5/4/12,1965,5/3/12,102.56,5/4/12,98.49
5/11/12,1974,5/10/12,97.1,5/11/12,96.03
5/18/12,1986,5/17/12,92.53,5/18/12,91.51
5/25/12,1983,5/24/12,90.36,5/25/12,90.64
6/1/12,1980,5/31/12,86.52,6/1/12,83.17
6/8/12,1984,6/7/12,84.78,6/8/12,84.08
6/15/12,1971,6/14/12,83.83,6/15/12,84.03
6/22/12,1966,6/21/12,77.91,6/22/12,79.33
6/29/12,1959,6/28/12,77.72,6/29/12,85.04
7/6/12,1965,7/5/12,87.11,7/6/12,84.37
7/13/12,1953,7/12/12,86.02,7/13/12,87.15
7/20/12,1935,7/19/12,92.78,7/20/12,91.56
7/27/12,1924,7/26/12,89.4,7/27/12,90.13
8/3/12,1930,8/2/12,87.22,8/3/12,91.4
8/10/12,1931,8/9/12,93.39,8/10/12,92.94
8/17/12,1914,8/16/12,95.66,8/17/12,96
8/24/12,1898,8/23/12,95.87,8/24/12,95.78
8/31/12,1894,8/30/12,94.61,8/31/12,96.47
9/7/12,1864,9/6/12,95.58,9/7/12,96.41
9/14/12,1864,9/13/12,98.3,9/14/12,98.94
9/21/12,1859,9/20/12,92.14,9/21/12,92.64
9/28/12,1848,9/27/12,91.89,9/28/12,92.18
10/5/12,1837,10/4/12,91.69,10/5/12,89.87
10/12/12,1835,10/11/12,92.19,10/12/12,91.83
10/19/12,1839,10/18/12,92,10/19/12,90
10/26/12,1826,10/25/12,85.59,10/26/12,85.84
11/2/12,1800,11/1/12,87.05,11/2/12,84.9
11/9/12,1806,11/8/12,85.07,11/9/12,86.08
11/16/12,1809,11/15/12,85.45,11/16/12,86.62
11/21/12,1817,11/22/12,87.08,11/23/12,87.01
11/30/12,1811,11/29/12,87.64,11/30/12,88.54
12/7/12,1800,12/6/12,85.47,12/7/12,85.45
12/14/12,1799,12/13/12,85.39,12/14/12,86.32
12/21/12,1774,12/20/12,89.76,12/21/12,88.2
12/28/12,1763,12/27/12,90.91,12/28/12,90.66
1/4/13,1762,1/3/13,92.97,1/4/13,93.12
1/11/13,1761,1/10/13,93.81,1/11/13,93.6
1/18/13,1749,1/17/13,95.49,1/18/13,95.61
1/25/13,1753,1/24/13,95.35,1/25/13,95.15
2/1/13,1764,1/31/13,97.65,2/1/13,97.46
2/8/13,1759,2/7/13,95.84,2/8/13,95.71
2/15/13,1762,2/14/13,97.3,2/15/13,95.95
2/22/13,1761,2/21/13,92.79,2/22/13,93.12
3/1/13,1757,2/28/13,92.03,3/1/13,90.71
3/8/13,1752,3/7/13,91.53,3/8/13,92.01
3/15/13,1776,3/14/13,93.03,3/15/13,93.49
3/22/13,1746,3/21/13,92.46,3/22/13,93.41
3/28/13,1748,3/28/13,97.24,3/29/13,97.24
4/5/13,1738,4/4/13,93.26,4/5/13,92.76
4/12/13,1771,4/11/13,93.44,4/12/13,91.23
4/19/13,1758,4/18/13,87.83,4/19/13,88.04
4/26/13,1754,4/25/13,93.27,4/26/13,92.63
5/3/13,1764,5/2/13,93.7,5/3/13,95.25
5/10/13,1769,5/9/13,96.09,5/10/13,95.81
5/17/13,1769,5/16/13,94.85,5/17/13,95.72
5/24/13,1762,5/23/13,94.12,5/24/13,93.84
5/31/13,1771,5/30/13,93.57,5/31/13,91.93
6/7/13,1765,6/6/13,94.71,6/7/13,96.11
6/14/13,1771,6/13/13,96.66,6/14/13,97.83
6/21/13,1759,6/20/13,94.89,6/21/13,93.81
6/28/13,1748,6/27/13,97,6/28/13,96.36
7/3/13,1757,7/4/13,101.92,7/5/13,103.09
7/12/13,1759,7/11/13,104.77,7/12/13,105.85
7/19/13,1770,7/18/13,107.94,7/19/13,108
7/26/13,1776,7/25/13,105.47,7/26/13,104.76
8/2/13,1782,8/1/13,107.93,8/2/13,106.94
8/9/13,1778,8/8/13,103.45,8/9/13,106.04
8/16/13,1791,8/15/13,107.43,8/16/13,107.58
8/23/13,1776,8/22/13,104.93,8/23/13,106.48
8/30/13,1776,8/29/13,108.51,8/30/13,107.98
9/6/13,1767,9/5/13,108.5,9/6/13,110.62
9/13/13,1768,9/12/13,108.72,9/13/13,108.31
9/20/13,1761,9/19/13,106.26,9/20/13,104.7
9/27/13,1744,9/26/13,103.1,9/27/13,102.86
10/4/13,1756,10/3/13,103.29,10/4/13,103.83
10/11/13,1743,10/10/13,103.08,10/11/13,102.17
10/18/13,1739,10/17/13,100.72,10/18/13,100.87
10/25/13,1738,10/24/13,96.65,10/25/13,97.4
11/1/13,1742,10/31/13,96.29,11/1/13,94.56
11/8/13,1754,11/7/13,94.25,11/8/13,94.56
11/15/13,1762,11/14/13,93.76,11/15/13,93.8
11/22/13,1761,11/21/13,95.35,11/22/13,94.53
11/27/13,1763,11/28/13,92.05,11/29/13,92.55
12/6/13,1775,12/5/13,97.14,12/6/13,97.48
12/13/13,1782,12/12/13,97.21,12/13/13,96.27
12/20/13,1768,12/19/13,98.4,12/20/13,99.11
12/27/13,1757,12/26/13,99.18,12/27/13,99.94
1/3/14,1751,1/2/14,95.14,1/3/14,93.66
1/10/14,1754,1/9/14,91.36,1/10/14,92.39
1/17/14,1777,1/16/14,93.54,1/17/14,93.96
1/24/14,1777,1/23/14,97.23,1/24/14,96.66
1/31/14,1785,1/30/14,98.25,1/31/14,97.55
2/7/14,1771,2/6/14,97.84,2/7/14,99.98
2/14/14,1764,2/13/14,100.27,2/14/14,100.31
2/21/14,1771,2/20/14,103.2,2/21/14,102.53
2/28/14,1769,2/27/14,102.68,2/28/14,102.88
3/7/14,1792,3/6/14,101.82,3/7/14,102.82
3/14/14,1809,3/13/14,98.57,3/14/14,99.23
3/21/14,1803,3/20/14,99.68,3/21/14,99.97
3/28/14,1809,3/27/14,101.25,3/28/14,101.73
4/4/14,1818,4/3/14,100.29,4/4/14,101.16
4/11/14,1831,4/10/14,103.37,4/11/14,103.68
4/17/14,1831,4/17/14,104.33,4/18/14,104.33
4/25/14,1861,4/24/14,102.2,4/25/14,100.85
5/2/14,1854,5/1/14,99.69,5/2/14,100.09
5/9/14,1855,5/8/14,100.52,5/9/14,100.32
5/16/14,1861,5/15/14,101.74,5/16/14,102.31
5/23/14,1857,5/22/14,104.03,5/23/14,105.01
5/30/14,1866,5/29/14,104.26,5/30/14,103.4
6/6/14,1860,6/5/14,103.17,6/6/14,103.32
6/13/14,1854,6/12/14,107.2,6/13/14,107.49
6/20/14,1858,6/19/14,107.08,6/20/14,107.95
6/27/14,1873,6/26/14,106.49,6/27/14,106.46
7/3/14,1874,7/3/14,104.76,7/4/14,104.76
7/11/14,1875,7/10/14,103.61,7/11/14,101.48
7/18/14,1871,7/17/14,103.84,7/18/14,103.83
7/25/14,1883,7/24/14,102.76,7/25/14,105.23
8/1/14,1889,7/31/14,98.23,8/1/14,97.86
8/8/14,1908,8/7/14,97.34,8/8/14,97.61
8/15/14,1913,8/14/14,95.54,8/15/14,97.3
8/22/14,1896,8/21/14,93.97,8/22/14,93.61
8/29/14,1914,8/28/14,96.44,8/29/14,97.86
9/5/14,1925,9/4/14,94.51,9/5/14,93.32
9/12/14,1931,9/11/14,92.89,9/12/14,92.18
9/19/14,1931,9/18/14,93.07,9/19/14,92.43
9/26/14,1931,9/25/14,93.59,9/26/14,95.55
10/3/14,1922,10/2/14,91.02,10/3/14,89.76
10/10/14,1930,10/9/14,85.76,10/10/14,85.87
10/17/14,1918,10/16/14,82.33,10/17/14,82.8
10/24/14,1927,10/23/14,82.81,10/24/14,81.27
10/31/14,1929,10/30/14,81.06,10/31/14,80.53
11/7/14,1925,11/6/14,77.87,11/7/14,78.71
11/14/14,1928,11/13/14,74.13,11/14/14,75.91
11/21/14,1929,11/20/14,75.63,11/21/14,76.52
11/26/14,1917,11/27/14,73.7,11/28/14,65.94
12/5/14,1920,12/4/14,66.73,12/5/14,65.89
12/12/14,1893,12/11/14,60.01,12/12/14,57.81
12/19/14,1875,12/18/14,54.18,12/19/14,56.91
12/26/14,1840,12/25/14,55.7,12/26/14,54.59
1/2/15,1811,1/1/15,53.45,1/2/15,52.72
1/9/15,1750,1/8/15,48.8,1/9/15,48.35
1/16/15,1676,1/15/15,46.37,1/16/15,48.49
1/23/15,1633,1/22/15,45.93,1/23/15,45.26
1/30/15,1543,1/29/15,44.12,1/30/15,47.79
2/6/15,1456,2/5/15,50.48,2/6/15,51.66
2/13/15,1358,2/12/15,51.17,2/13/15,52.66
2/20/15,1310,2/19/15,51.12,2/20/15,49.95
2/27/15,1267,2/26/15,47.65,2/27/15,49.84
3/6/15,1192,3/5/15,50.76,3/6/15,49.61
3/13/15,1125,3/12/15,47.12,3/13/15,44.88
3/20/15,1069,3/19/15,44.02,3/20/15,46
3/27/15,1048,3/26/15,51.41,3/27/15,48.83
4/2/15,1028,4/2/15,49.13,4/3/15,49.13
4/10/15,988,4/9/15,50.79,4/10/15,51.63
4/17/15,954,4/16/15,56.69,4/17/15,55.71
4/24/15,932,4/23/15,56.59,4/24/15,55.98
5/1/15,905,4/30/15,59.62,5/1/15,59.1
5/8/15,894,5/7/15,58.99,5/8/15,59.41
5/15/15,888,5/14/15,59.89,5/15/15,59.73
5/22/15,885,5/21/15,60.18,5/22/15,58.88
5/29/15,875,5/28/15,57.69,5/29/15,60.25
6/5/15,868,6/4/15,58,6/5/15,59.11
6/12/15,859,6/11/15,60.74,6/12/15,59.96
6/19/15,857,6/18/15,60.41,6/19/15,59.62
6/26/15,859,6/25/15,59.59,6/26/15,59.41
7/2/15,862,7/2/15,56.93,7/3/15,56.93
7/10/15,863,7/9/15,52.76,7/10/15,52.74
7/17/15,857,7/16/15,50.9,7/17/15,50.88
7/24/15,876,7/23/15,48.11,7/24/15,47.98
7/31/15,874,7/30/15,48.53,7/31/15,47.11
8/7/15,884,8/6/15,44.69,8/7/15,43.87
8/14/15,884,8/13/15,42.27,8/14/15,42.45
8/21/15,885,8/20/15,41,8/21/15,40.45
8/28/15,877,8/27/15,42.47,8/28/15,45.29
9/4/15,864,9/3/15,46.75,9/4/15,46.02
9/11/15,848,9/10/15,45.85,9/11/15,44.75
9/18/15,842,9/17/15,46.93,9/18/15,44.71
9/25/15,838,9/24/15,44.94,9/25/15,45.55
10/2/15,809,10/1/15,44.75,10/2/15,45.54
10/9/15,795,10/8/15,49.46,10/9/15,49.67
10/16/15,787,10/15/15,46.38,10/16/15,47.3
10/23/15,787,10/22/15,44.9,10/23/15,43.91
10/30/15,775,10/29/15,46.02,10/30/15,46.6
11/6/15,771,11/5/15,45.27,11/6/15,44.32
11/13/15,767,11/12/15,41.74,11/13/15,40.69
11/20/15,757,11/19/15,40.55,11/20/15,39.39
11/25/15,744,11/26/15,41.22,11/27/15,40.57
12/4/15,737,12/3/15,41.08,12/4/15,40
12/11/15,709,12/10/15,36.76,12/11/15,35.65
12/18/15,709,12/17/15,34.98,12/18/15,34.72
12/23/15,700,12/24/15,37.62,12/25/15,37.62
12/31/15,698,12/31/15,37.13,1/1/16,37.13
1/8/16,664,1/7/16,33.29,1/8/16,33.2
1/15/16,650,1/14/16,31.22,1/15/16,29.45
1/22/16,637,1/21/16,29.55,1/22/16,32.07
1/29/16,619,1/28/16,33.21,1/29/16,33.66
2/5/16,571,2/4/16,31.63,2/5/16,30.86
2/12/16,541,2/11/16,26.19,2/12/16,29.32
2/19/16,514,2/18/16,30.77,2/19/16,29.59
2/26/16,502,2/25/16,31.4,2/26/16,31.65
3/4/16,489,3/3/16,34.56,3/4/16,35.91
3/11/16,480,3/10/16,37.77,3/11/16,38.51
3/18/16,476,3/17/16,40.17,3/18/16,39.47
3/24/16,464,3/24/16,38.14,3/25/16,38.14
4/1/16,450,3/31/16,36.94,4/1/16,35.36
4/8/16,443,4/7/16,37.3,4/8/16,39.74
4/15/16,440,4/14/16,41.45,4/15/16,40.4
4/22/16,431,4/21/16,43.18,4/22/16,42.76
4/29/16,420,4/28/16,46.03,4/29/16,45.98
5/6/16,415,5/5/16,44.33,5/6/16,44.58
5/13/16,406,5/12/16,46.64,5/13/16,46.22
5/20/16,404,5/19/16,48.16,5/20/16,47.67
5/27/16,404,5/26/16,49,5/27/16,49.36
6/3/16,408,6/2/16,49.14,6/3/16,48.69
6/10/16,414,6/9/16,50.52,6/10/16,49.09
6/17/16,424,6/16/16,46.14,6/17/16,48
6/24/16,421,6/23/16,49.34,6/24/16,46.7
7/1/16,431,6/30/16,48.27,7/1/16,49.02
7/8/16,440,7/7/16,45.22,7/8/16,45.37
7/15/16,447,7/14/16,45.64,7/15/16,45.93
7/22/16,462,7/21/16,43.96,7/22/16,43.41
7/29/16,463,7/28/16,41.13,7/29/16,41.54
8/5/16,464,8/4/16,41.92,8/5/16,41.83
8/12/16,481,8/11/16,43.51,8/12/16,44.47
8/19/16,491,8/18/16,48.2,8/19/16,48.48
8/26/16,489,8/25/16,46.97,8/26/16,47.64
9/2/16,497,9/1/16,43.17,9/2/16,44.39
9/9/16,508,9/8/16,47.63,9/9/16,45.88
9/16/16,506,9/15/16,43.85,9/16/16,43.04
9/23/16,511,9/22/16,46.1,9/23/16,44.36
9/30/16,522,9/29/16,47.72,9/30/16,47.72
10/7/16,524,10/6/16,50.44,10/7/16,49.76
10/14/16,539,10/13/16,50.47,10/14/16,50.35
10/21/16,553,10/20/16,50.31,10/21/16,50.61
10/28/16,557,10/27/16,49.71,10/28/16,48.72
11/4/16,569,11/3/16,44.66,11/4/16,44.07
11/11/16,568,11/10/16,44.62,11/11/16,43.39
11/18/16,588,11/17/16,45.37,11/18/16,45.69
11/23/16,593,11/24/16,46.72,11/25/16,46.72
12/2/16,597,12/1/16,51.08,12/2/16,51.7
12/9/16,624,12/8/16,50.84,12/9/16,51.51
12/16/16,637,12/15/16,50.9,12/16/16,51.93
12/23/16,653,12/22/16,51.98,12/23/16,52.01
12/30/16,658,12/29/16,53.8,12/30/16,53.75
1/6/17,665,1/5/17,53.77,1/6/17,53.98
1/13/17,659,1/12/17,53.01,1/13/17,52.36
1/20/17,694,1/19/17,51.39,1/20/17,52.33
1/27/17,712,1/26/17,53.24,1/27/17,53.18
2/3/17,729,2/2/17,53.55,2/3/17,53.81
2/10/17,741,2/9/17,52.99,2/10/17,53.84
2/17/17,751,2/16/17,53.41,2/17/17,53.41
2/24/17,754,2/23/17,54.48,2/24/17,53.99
3/3/17,756,3/2/17,52.63,3/3/17,53.33
3/10/17,768,,,,
